time,algae,rotifers,egg_ratio,eggs,dead_animals,external_medium,cycle_id
0.0,1.5,,,,,80.0,C1
0.95,0.83,5.42,0.0,0.0,0.4,80.0,C1
2.26,0.7,18.26,0.38,7.02,0.0,80.0,C1
2.91,0.38,17.86,0.19,3.41,0.4,80.0,C1
3.95,0.41,21.07,0.32,6.82,0.4,80.0,C1
4.95,0.39,17.46,0.2,3.41,0.2,80.0,C1
5.93,0.91,15.85,0.91,14.45,1.0,80.0,C1
6.96,0.3,36.12,0.07,2.61,4.01,80.0,C1
8.22,0.77,18.86,0.45,8.43,3.41,80.0,C1
9.08,0.42,31.3,0.14,4.41,1.2,80.0,C1
9.94,0.24,16.66,0.11,1.81,1.4,80.0,C1
10.98,,,,,,80.0,C1
11.95,0.51,7.83,0.23,1.81,0.4,80.0,C1
13.0,0.62,23.08,0.5,11.44,1.2,80.0,C1
13.98,0.32,23.88,0.15,3.61,1.61,80.0,C1
14.99,0.67,18.66,0.4,7.42,1.2,80.0,C1
16.02,0.25,26.49,0.12,3.21,3.01,80.0,C1
16.94,0.38,8.23,0.59,4.82,2.01,80.0,C1
17.98,1.64,19.47,0.6,11.64,1.2,80.0,C1
18.93,0.69,23.48,0.5,11.64,1.0,80.0,C1
20.0,0.27,27.89,0.12,3.21,1.81,80.0,C1
20.95,1.23,19.06,0.88,16.86,1.61,80.0,C1
22.02,0.99,23.48,0.29,6.82,0.4,80.0,C1
23.16,0.18,29.7,0.41,12.24,0.8,80.0,C1
23.94,0.26,38.53,0.32,12.24,0.8,80.0,C1
24.95,0.94,11.64,0.81,9.43,4.21,80.0,C1
25.97,0.62,23.48,0.3,7.02,0.8,80.0,C1
26.95,1.21,20.87,0.57,11.84,1.4,80.0,C1
27.92,0.25,33.91,0.1,3.41,2.21,80.0,C1
29.05,0.36,14.65,0.18,2.61,1.0,80.0,C1
30.05,0.46,17.66,0.17,3.01,2.41,80.0,C1
30.93,0.62,11.84,0.41,4.82,1.61,80.0,C1
31.9,0.76,12.84,0.33,4.21,1.81,80.0,C1
32.97,0.56,22.27,0.25,5.62,0.8,80.0,C1
34.0,0.6,23.28,0.38,8.83,1.61,80.0,C1
34.95,1.21,28.9,0.61,17.66,2.61,80.0,C1
36.3,0.15,55.18,0.08,4.62,1.4,80.0,C1
37.3,0.13,24.88,0.01,0.2,4.62,80.0,C1
37.92,0.21,7.02,0.26,1.81,4.82,80.0,C1
38.95,0.97,8.83,0.23,2.01,2.41,80.0,C1
40.0,1.35,11.04,1.31,14.45,3.41,80.0,C1
40.93,0.71,26.49,0.42,11.04,1.0,80.0,C1
41.95,0.43,33.31,0.15,5.02,2.21,80.0,C1
43.19,0.35,21.47,0.2,4.21,4.41,80.0,C1
44.19,0.47,12.64,0.35,4.41,2.21,80.0,C1
44.94,0.77,12.24,0.44,5.42,2.41,80.0,C1
45.93,0.86,9.03,0.47,4.21,1.61,80.0,C1
47.07,1.02,52.37,0.39,20.47,1.4,80.0,C1
48.0,0.29,40.94,0.14,5.62,1.61,80.0,C1
48.93,0.65,33.71,0.45,15.05,6.82,80.0,C1
49.99,0.3,16.25,0.17,2.81,2.21,80.0,C1
51.01,0.22,12.84,0.13,1.61,2.21,80.0,C1
51.95,0.35,9.63,0.46,4.41,1.2,80.0,C1
52.97,1.51,12.64,0.62,7.83,2.61,80.0,C1
53.98,1.01,34.52,0.59,20.47,3.61,80.0,C1
54.94,0.28,41.94,0.1,4.21,1.2,80.0,C1
55.99,0.28,25.08,0.05,1.2,1.2,80.0,C1
57.01,0.75,23.08,0.67,15.45,1.2,80.0,C1
58.02,0.49,25.89,0.35,9.03,1.4,80.0,C1
58.98,0.36,33.91,0.25,8.43,2.41,80.0,C1
59.93,0.64,52.17,0.61,31.91,3.01,80.0,C1
60.9,0.16,52.37,0.13,7.02,3.41,80.0,C1
61.98,0.09,27.89,0.02,0.6,5.42,80.0,C1
62.97,0.56,5.42,0.81,4.41,4.21,80.0,C1
64.09,0.57,39.93,0.2,8.03,1.2,80.0,C1
65.35,0.61,39.53,0.21,8.43,1.0,80.0,C1
65.97,0.37,36.92,0.26,9.63,0.6,80.0,C1
66.92,0.44,21.07,0.5,10.43,1.2,80.0,C1
67.99,0.2,17.26,0.05,0.8,0.4,80.0,C1
68.95,0.42,17.46,0.37,6.42,0.4,80.0,C1
69.97,0.94,22.88,0.7,16.05,2.01,80.0,C1
71.15,0.33,41.74,0.18,7.63,3.01,80.0,C1
72.29,0.28,19.47,0.2,3.81,1.4,80.0,C1
72.95,0.51,18.46,0.49,9.03,2.21,80.0,C1
73.98,0.81,38.73,0.39,15.25,1.4,80.0,C1
74.98,0.19,39.73,0.13,5.02,1.61,80.0,C1
75.96,0.1,21.47,0.09,2.01,0.8,80.0,C1
76.94,0.32,13.24,0.56,7.42,5.22,80.0,C1
77.99,0.76,15.65,0.63,9.83,3.81,80.0,C1
79.04,0.58,26.09,0.58,15.05,3.41,80.0,C1
79.94,0.57,35.12,0.39,13.65,3.61,80.0,C1
81.05,0.4,47.76,0.41,19.67,4.21,80.0,C1
81.99,0.35,47.56,0.35,16.66,3.41,80.0,C1
82.95,0.29,43.14,0.22,9.63,5.82,80.0,C1
84.13,0.33,31.1,0.3,9.23,7.02,80.0,C1
85.32,0.31,30.3,0.35,10.64,5.02,80.0,C1
85.98,0.3,28.7,0.32,9.23,3.41,80.0,C1
87.24,0.3,23.08,0.32,7.42,2.41,80.0,C1
87.93,0.32,23.08,0.43,10.03,1.81,80.0,C1
88.95,0.38,20.67,0.25,5.22,1.2,80.0,C1
89.97,0.85,25.49,0.53,13.44,1.81,80.0,C1
90.97,0.25,41.54,0.05,2.01,1.2,80.0,C1
92.08,0.33,38.13,0.07,2.81,1.61,80.0,C1
93.02,0.35,12.84,0.3,3.81,3.01,80.0,C1
94.03,0.37,17.26,0.24,4.21,1.4,80.0,C1
94.96,1.0,20.07,0.81,16.25,1.81,80.0,C1
95.96,0.34,38.93,0.2,7.83,1.2,80.0,C1
96.99,0.22,21.47,0.2,4.21,1.2,80.0,C1
97.98,0.31,21.07,0.22,4.62,4.41,80.0,C1
99.06,0.28,16.86,0.15,2.61,2.41,80.0,C1
100.04,0.23,7.83,0.13,1.0,0.8,80.0,C1
100.93,0.33,6.02,0.4,2.41,1.2,80.0,C1
101.95,0.8,5.82,0.83,4.82,1.4,80.0,C1
102.99,0.78,23.28,0.5,11.64,0.6,80.0,C1
103.94,0.62,16.86,0.48,8.03,0.8,80.0,C1
104.93,0.28,34.72,0.18,6.22,1.4,80.0,C1
106.05,0.21,23.68,0.13,3.01,1.0,80.0,C1
107.14,0.23,15.25,0.13,2.01,1.4,80.0,C1
107.92,0.3,11.84,0.37,4.41,1.2,80.0,C1
108.98,0.51,14.25,0.37,5.22,1.4,80.0,C1
110.0,0.54,20.67,0.53,11.04,0.8,80.0,C1
110.97,0.44,30.5,0.34,10.23,0.2,80.0,C1
111.92,0.53,30.3,0.44,13.44,3.01,80.0,C1
113.02,0.24,25.89,0.16,4.01,4.62,80.0,C1
113.96,0.17,24.08,0.05,1.2,3.01,80.0,C1
114.92,0.25,10.03,0.28,2.81,1.2,80.0,C1
115.93,0.59,7.63,0.29,2.21,0.6,80.0,C1
116.96,0.82,26.49,0.63,16.66,4.21,80.0,C1
117.97,0.3,41.94,0.13,5.62,1.4,80.0,C1
118.98,0.25,35.92,0.15,5.22,3.21,80.0,C1
119.99,0.4,26.89,0.41,11.04,3.01,80.0,C1
121.19,0.24,23.28,0.16,3.61,2.01,80.0,C1
121.99,0.36,19.26,0.59,11.44,2.01,80.0,C1
122.94,1.51,25.69,1.0,25.69,3.81,80.0,C1
124.02,0.54,77.06,0.19,14.65,5.22,80.0,C1
125.05,0.19,57.19,0.09,5.42,6.42,80.0,C1
126.02,0.19,31.91,0.05,1.61,12.84,80.0,C1
127.04,0.4,15.25,0.88,13.44,11.84,80.0,C1
128.22,0.27,24.08,0.24,5.82,6.22,80.0,C1
129.02,0.41,23.48,0.59,13.85,5.82,80.0,C1
129.98,0.88,34.52,1.05,36.32,6.62,80.0,C1
130.98,0.27,42.54,0.18,7.63,6.62,80.0,C1
131.97,0.43,30.5,0.59,18.06,4.62,80.0,C1
132.95,0.46,42.74,0.51,21.67,3.21,80.0,C1
134.03,0.5,51.77,0.33,16.86,8.43,80.0,C1
135.35,0.23,31.3,0.06,1.81,8.23,80.0,C1
136.18,0.42,15.05,0.72,10.84,9.43,80.0,C1
136.99,0.66,28.29,0.72,20.27,7.83,80.0,C1
137.98,0.21,36.32,0.46,16.66,1.2,80.0,C1
139.0,0.17,36.72,0.23,8.43,2.41,80.0,C1
139.93,0.18,48.16,0.3,14.25,1.81,80.0,C1
141.31,0.14,73.65,0.29,21.47,3.21,80.0,C1
142.32,0.36,28.29,0.26,7.42,0.8,80.0,C1
142.96,0.35,27.09,0.2,5.42,3.21,80.0,C1
143.95,0.71,45.35,0.54,24.68,1.61,80.0,C1
144.99,0.81,42.94,0.21,8.83,2.01,80.0,C1
146.01,0.99,19.67,0.06,1.2,2.01,80.0,C1
147.05,0.75,12.44,0.4,5.02,3.41,80.0,C1
148.25,0.55,18.26,0.29,5.22,1.81,80.0,C1
149.31,0.36,31.1,0.24,7.42,0.8,80.0,C1
149.93,0.4,28.09,0.36,10.23,0.4,80.0,C1
150.94,0.55,15.45,0.7,10.84,0.4,80.0,C1
151.95,0.24,40.54,0.12,5.02,2.81,80.0,C1
152.96,0.51,47.16,0.3,14.05,1.81,80.0,C1
154.2,,,,,,80.0,C1
155.18,0.21,20.07,0.03,0.6,2.81,80.0,C1
156.38,0.39,13.04,0.4,5.22,3.61,80.0,C1
156.95,0.5,18.26,0.44,8.03,1.2,80.0,C1
